,0
162,-7.8117697321947555
163,-7.813102568528624
164,-7.814416303587439
165,-7.815711163410712
166,-7.816987371119336
167,-7.818245146952134
168,-7.819484708302205
169,-7.820706269752919
170,-7.821910043113736
171,-7.823096237455758
172,-7.824265059147049
173,-7.825416711887683
174,-7.826551396744509
175,-7.827669312185677
176,-7.828770654114867
177,-7.829855615905263
178,-7.830924388433256
179,-7.831977160111786
180,-7.833014116923532
181,-7.8340354424536365
182,-7.83504131792224
183,-7.836031922216784
184,-7.837007431923807
185,-7.837968021360631
186,-7.838913862606577
187,-7.839845125534024
188,-7.84076197783901
189,-7.841664585071632
190,-7.842553110666008
191,-7.843427715970025
192,-7.844288560274696
193,-7.845135800843218
194,-7.845969592939711
195,-7.846790089857558
196,-7.847597442947546
197,-7.848391801645549
198,-7.8491733134999295
199,-7.849942124198668
200,-7.8506983775960215
201,-7.851442215738987
202,-7.852173778893389
203,-7.852893205569583
204,-7.853600632547865
205,-7.854296194903621
206,-7.854980026032008
207,-7.8556522576724195
208,-7.856313019932571
209,-7.856962441312281
210,-7.8576006487268835
211,-7.8582277675304
212,-7.858843921538313
213,-7.85944923305002
214,-7.86004382287104
215,-7.860627810334853
216,-7.861201313324373
217,-7.861764448293224
218,-7.86231733028664
219,-7.862860072962027
220,-7.863392788609311
221,-7.863915588170862
222,-7.8644285812612456
223,-7.864931876186582
224,-7.865425579963628
225,-7.865909798429391
226,-7.866384635895677
227,-7.866850195714269
228,-7.86730657992974
229,-7.867753889388508
230,-7.868192223756233
231,-7.868621681534904
232,-7.869042360079694
233,-7.869454355615578
234,-7.8698577632535685
235,-7.870252677006846
236,-7.870639189806523
237,-7.871017393517194
238,-7.8713873789522
239,-7.871749235888705
240,-7.872103053082492
241,-7.872448918282471
242,-7.872786918245045
243,-7.873117138748149
244,-7.8734396646051525
245,-7.873754579678414
246,-7.874061966892736
247,-7.874361908248523
248,-7.874654484834723
249,-7.874939776841588
250,-7.875217863573208
251,-7.875488823459837
252,-7.8757527340700255
253,-7.87600967212254
254,-7.876259713498056
255,-7.876502933250732
256,-7.876739405619517
257,-7.8769692040393435
258,-7.877192401152014
259,-7.877409068817041
260,-7.877619278122257
261,-7.87782309939419
262,-7.878020602208336
263,-7.87821185539926
264,-7.87839692707049
265,-7.878575884604267
266,-7.878748794671119
267,-7.87891572323935
268,-7.879076735584211
269,-7.879231896297133
270,-7.879381269294594
